File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	Nemo_file_name	Released_URL	Identifier
NW_TX0055-6_S01_L003_R1_001.fastq.gz	M1TX_200721_155_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	e31f45d744eed0e08483c204f690b147	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-6_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-6_S01_L003-001.fastq.tar	nemo:seq-46mecs8
NW_TX0064-3_S01_L003_R1_001.fastq.gz	M1TX_200813_154_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	c483bd582f0973da8d2eba4c8b26a926	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-3_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-3_S01_L003-001.fastq.tar	nemo:seq-ag4mnrh
NW_TX0064-4_S01_L003_R1_001.fastq.gz	M1TX_200813_154_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	147c9d8939327fb1321d66c2a91e46c8	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-4_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-4_S01_L003-001.fastq.tar	nemo:seq-x1fiazx
NW_TX0064-5_S01_L003_R1_001.fastq.gz	M1TX_200813_155_G01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	63b0f2cd0fd207341ad91a5f5ec04641	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-5_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-5_S01_L003-001.fastq.tar	nemo:seq-dox1v3a
NW_TX0077-7_S01_L003_R1_001.fastq.gz	M1TX_200924_151_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	d07e75edb782469b4aa7769745f19878	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-7_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-7_S01_L003-001.fastq.tar	nemo:seq-qb97z2f
NW_TX0077-8_S01_L003_R1_001.fastq.gz	M1TX_200924_151_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	37d9ca357e896c6610508efaecfce3e1	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-8_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-8_S01_L003-001.fastq.tar	nemo:seq-h0c1ffr
NW_TX0078-1_S01_L003_R1_001.fastq.gz	M1TX_200924_152_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	c9f51fb8c5201c88aaaaee143de1beab	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0078-1_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0078-1_S01_L003-001.fastq.tar	nemo:seq-g516m2g
NW_TX0090-11_S01_L003_R1_001.fastq.gz	M1TX_201104_159_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	eb847cfe2589fe5ec438307bde5733b1	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0090-11_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0090-11_S01_L003-001.fastq.tar	nemo:seq-jvqu8n8
NW_TX0092-7_S01_L003_R1_001.fastq.gz	M1TX_201104_160_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	7326fd105261d4db0d509c6baf9924ca	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-7_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-7_S01_L003-001.fastq.tar	nemo:seq-isaya4u
NW_TX0092-8_S01_L003_R1_001.fastq.gz	M1TX_201104_160_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	323c11654a3340a6e14a18bd4162b2ad	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-8_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-8_S01_L003-001.fastq.tar	nemo:seq-1g9y31h
NW_TX0055-4_S01_L003_R1_001.fastq.gz	M1TX_200721_151_A01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	d4f4c2f9f40d697d39fb2817682d571c	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-4_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-4_S01_L003-001.fastq.tar	nemo:seq-2f489zm
NW_TX0055-5_S01_L003_R2_001.fastq.gz	M1TX_200721_153_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	f78fac5db54e788b31e5a8c7559438d0	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-5_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-5_S01_L003-001.fastq.tar	nemo:seq-6hjphdq
NW_TX0055-6_S01_L003_R2_001.fastq.gz	M1TX_200721_155_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	82a717ad02dce0ef71d2a6e53ada0da5	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-6_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-6_S01_L003-001.fastq.tar	nemo:seq-46mecs8
NW_TX0064-3_S01_L003_R2_001.fastq.gz	M1TX_200813_154_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	00bd658667712f83653996f3f196a86b	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-3_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-3_S01_L003-001.fastq.tar	nemo:seq-ag4mnrh
NW_TX0064-4_S01_L003_R2_001.fastq.gz	M1TX_200813_154_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	a0898c3ded2f4778480651c16fb1f009	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-4_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-4_S01_L003-001.fastq.tar	nemo:seq-x1fiazx
NW_TX0064-5_S01_L003_R2_001.fastq.gz	M1TX_200813_155_G01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	4f602523bc9299b0dcdf0d3c074eaa1a	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-5_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-5_S01_L003-001.fastq.tar	nemo:seq-dox1v3a
NW_TX0077-7_S01_L003_R2_001.fastq.gz	M1TX_200924_151_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	330418833ec60afa9ad842f727fdf455	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-7_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-7_S01_L003-001.fastq.tar	nemo:seq-qb97z2f
NW_TX0077-8_S01_L003_R2_001.fastq.gz	M1TX_200924_151_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	ac810020c625a90c39b32d3da5271ef7	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-8_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-8_S01_L003-001.fastq.tar	nemo:seq-h0c1ffr
NW_TX0078-1_S01_L003_R2_001.fastq.gz	M1TX_200924_152_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8c24a69200cdd233e096219d6b542a3e	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0078-1_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0078-1_S01_L003-001.fastq.tar	nemo:seq-g516m2g
NW_TX0090-11_S01_L003_R2_001.fastq.gz	M1TX_201104_159_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	c076fb86d1f4d3e05854985202eef8be	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0090-11_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0090-11_S01_L003-001.fastq.tar	nemo:seq-jvqu8n8
NW_TX0092-7_S01_L003_R2_001.fastq.gz	M1TX_201104_160_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	b87ced071e916374b50bcfe441d549f6	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-7_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-7_S01_L003-001.fastq.tar	nemo:seq-isaya4u
NW_TX0092-8_S01_L003_R2_001.fastq.gz	M1TX_201104_160_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	a90931d0a100df86ab5c578edc1c30e7	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-8_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-8_S01_L003-001.fastq.tar	nemo:seq-1g9y31h
NW_TX0055-4_S01_L003_R2_001.fastq.gz	M1TX_200721_151_A01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	63dfbf79936f899214f362d21cb03de8	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-4_S01_L003_R2_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-4_S01_L003-001.fastq.tar	nemo:seq-2f489zm
